Right Knee,Left Knee,Right Ankle,Left Ankle,Right Heel,Left Heel,Right Foot Index,Left Foot Index,Pose ID
"(0.46435675024986267, 0.6198944449424744, 0.04467771202325821, 0.999974250793457, 0.9999997615814209)","(0.4966324269771576, 0.6056932210922241, -0.04489917308092117, 0.9999793767929077, 0.9999997615814209)","(0.5069130063056946, 0.7532480359077454, 0.034690581262111664, 0.7941282391548157, 0.9999887943267822)","(0.534090518951416, 0.71990567445755, 0.03416679799556732, 0.93515944480896, 0.9999884366989136)","(0.537634015083313, 0.9011783599853516, -0.03795938193798065, 0.8433782458305359, 0.9999861717224121)","(0.56954425573349, 0.8343057036399841, 0.013118334114551544, 0.8658906817436218, 0.9999790191650391)","(0.5383960604667664, 0.9236347675323486, -0.048414237797260284, 0.8990829586982727, 0.999941349029541)","(0.5678257942199707, 0.8597633242607117, 0.011448501609265804, 0.8646731376647949, 0.9999721050262451)",2
"(0.43821364641189575, 0.5487111806869507, 0.0542224682867527, 0.9999862313270569, 0.9999998807907104)","(0.4680803120136261, 0.5390588641166687, -0.054292429238557816, 0.9999859929084778, 0.9999998807907104)","(0.48355457186698914, 0.6191952228546143, 0.17704196274280548, 0.5962547659873962, 0.9999897480010986)","(0.5232803225517273, 0.5850655436515808, -0.1246841624379158, 0.8462724089622498, 0.9999988079071045)","(0.5079965591430664, 0.7228649258613586, 0.27298468351364136, 0.5930655598640442, 0.999942421913147)","(0.5574941039085388, 0.7328593134880066, -0.1937842071056366, 0.7237259149551392, 0.9999792575836182)","(0.5115174651145935, 0.7444584965705872, 0.281881183385849, 0.7448757886886597, 0.9998841285705566)","(0.5589039325714111, 0.7638323903083801, -0.19946901500225067, 0.7394829988479614, 0.999954342842102)",3
"(0.4375537037849426, 0.549140214920044, 0.04429371654987335, 0.9999850988388062, 0.9999986886978149)","(0.46716034412384033, 0.5413028597831726, -0.04437587410211563, 0.9999841451644897, 0.9999971389770508)","(0.4818847179412842, 0.6279979944229126, 0.16974718868732452, 0.5624967813491821, 0.9999420642852783)","(0.5140584111213684, 0.5756300687789917, 0.0553043968975544, 0.807159423828125, 0.9999053478240967)","(0.5087008476257324, 0.732174277305603, 0.27147164940834045, 0.5624902248382568, 0.9996440410614014)","(0.529026985168457, 0.6261751055717468, 0.19976361095905304, 0.6661901473999023, 0.9997555613517761)","(0.5121773481369019, 0.7505888342857361, 0.28113311529159546, 0.7163420915603638, 0.9992152452468872)","(0.5210910439491272, 0.6360750794410706, 0.21603405475616455, 0.693664014339447, 0.9998182654380798)",3
"(0.4407694339752197, 0.5471117496490479, 0.033544350415468216, 0.9999834299087524, 0.9999974966049194)","(0.46647927165031433, 0.5421349406242371, -0.03367672488093376, 0.9999831914901733, 0.9999980926513672)","(0.48140451312065125, 0.6289995312690735, 0.16082994639873505, 0.5520427227020264, 0.9999408721923828)","(0.5139944553375244, 0.5725646615028381, 0.03979376703500748, 0.7518748641014099, 0.9999803304672241)","(0.506218433380127, 0.7225645184516907, 0.20207218825817108, 0.5670557618141174, 0.9995446801185608)","(0.5138578414916992, 0.5784921050071716, 0.11007431149482727, 0.6098131537437439, 0.9998776912689209)","(0.5118528604507446, 0.7482205033302307, 0.20593520998954773, 0.720633327960968, 0.9985784292221069)","(0.5084032416343689, 0.5835397839546204, 0.11873172968626022, 0.6448553800582886, 0.9998403787612915)",3
"(0.44050464034080505, 0.5413434505462646, 0.02477213554084301, 0.9999827146530151, 0.9999980926513672)","(0.4669886529445648, 0.539555013179779, -0.02490801177918911, 0.9999815821647644, 0.9999970197677612)","(0.4819593131542206, 0.6292694211006165, 0.13200566172599792, 0.5645731091499329, 0.9999607801437378)","(0.5026354789733887, 0.5336398482322693, 0.09145590662956238, 0.6988095641136169, 0.9999536275863647)","(0.5065495371818542, 0.728030800819397, 0.18676915764808655, 0.578886091709137, 0.9996756315231323)","(0.4989766776561737, 0.5820596218109131, 0.23098811507225037, 0.5565581917762756, 0.9998636245727539)","(0.5112923383712769, 0.7543867230415344, 0.1919160932302475, 0.7247161269187927, 0.9991280436515808)","(0.4928472638130188, 0.5897660255432129, 0.24675238132476807, 0.5952973961830139, 0.9998713731765747)",3
"(0.44376593828201294, 0.5415641665458679, 0.013087447732686996, 0.9999791979789734, 0.9999938011169434)","(0.4741450846195221, 0.5384611487388611, -0.013255206868052483, 0.9999796748161316, 0.9999954700469971)","(0.4817955791950226, 0.6381816864013672, 0.096837118268013, 0.5808963179588318, 0.9998725652694702)","(0.5035210847854614, 0.5311488509178162, 0.13787269592285156, 0.6326296329498291, 0.9999263286590576)","(0.5076727271080017, 0.7364707589149475, 0.15853191912174225, 0.593630850315094, 0.9995808005332947)","(0.49332255125045776, 0.5902394652366638, 0.2892332375049591, 0.5067285299301147, 0.9997753500938416)","(0.511406421661377, 0.7547801733016968, 0.1644209921360016, 0.7328457832336426, 0.9989638328552246)","(0.486345499753952, 0.6087853312492371, 0.30518898367881775, 0.5475842952728271, 0.9998080134391785)",3
"(0.36430415511131287, 0.683296263217926, 0.045817505568265915, 0.9999772310256958, 0.9999995231628418)","(0.39688989520072937, 0.6639838814735413, -0.04596879705786705, 0.999971330165863, 0.9999992847442627)","(0.3982148766517639, 0.7486339807510376, 0.21434323489665985, 0.5343331694602966, 0.9999909400939941)","(0.4542292654514313, 0.7289718985557556, -0.13097035884857178, 0.8930886387825012, 0.9999982118606567)","(0.4301779270172119, 0.8190522789955139, 0.24958521127700806, 0.6896450519561768, 0.999985933303833)","(0.4998108446598053, 0.8405591249465942, -0.2649221420288086, 0.8447282910346985, 0.9999877214431763)","(0.43598484992980957, 0.8569355010986328, 0.25206422805786133, 0.8279123306274414, 0.9999659061431885)","(0.49522724747657776, 0.8665728569030762, -0.2768632173538208, 0.8653695583343506, 0.9999704360961914)",4
"(0.36230581998825073, 0.679912805557251, 0.04489028453826904, 0.9999783635139465, 0.9999992847442627)","(0.3932386040687561, 0.6584746241569519, -0.044652488082647324, 0.9999735355377197, 0.9999990463256836)","(0.40114814043045044, 0.7534458637237549, 0.04448942467570305, 0.5731340646743774, 0.9999570846557617)","(0.4426363408565521, 0.7245357632637024, -0.1014537438750267, 0.9036256074905396, 0.9999867677688599)","(0.4270574748516083, 0.8186835050582886, -0.02854873426258564, 0.7181891202926636, 0.9999697208404541)","(0.4812757670879364, 0.8241586089134216, -0.22679951786994934, 0.8600798845291138, 0.9999665021896362)","(0.43370509147644043, 0.8550570607185364, -0.03678503632545471, 0.8446534276008606, 0.9999120235443115)","(0.47541502118110657, 0.83127361536026, -0.2385869324207306, 0.8787006735801697, 0.999936580657959)",4
"(0.36189571022987366, 0.6749679446220398, 0.03980567678809166, 0.999976634979248, 0.999998927116394)","(0.3920571506023407, 0.656315803527832, -0.03989946097135544, 0.9999712109565735, 0.9999978542327881)","(0.4056013226509094, 0.7437641024589539, 0.11921025067567825, 0.5574204325675964, 0.9999709129333496)","(0.4229261577129364, 0.7072132229804993, 0.03888425603508949, 0.8758523464202881, 0.9999734163284302)","(0.43980246782302856, 0.8222922682762146, 0.07865668088197708, 0.7341820597648621, 0.9999241828918457)","(0.4343247711658478, 0.8027307391166687, -0.005162562243640423, 0.8552607297897339, 0.9999301433563232)","(0.44403502345085144, 0.8493678569793701, 0.07530155032873154, 0.8567957878112793, 0.9996947050094604)","(0.43495652079582214, 0.8220551609992981, -0.009749156422913074, 0.8777967691421509, 0.9998617172241211)",4
"(0.36515963077545166, 0.6681979894638062, 0.038777343928813934, 0.9999737739562988, 0.9999969005584717)","(0.39745259284973145, 0.6558875441551208, -0.03892228379845619, 0.9999718070030212, 0.9999984502792358)","(0.3996065855026245, 0.7211759686470032, 0.21193575859069824, 0.5317345261573792, 0.9998830556869507)","(0.4188884198665619, 0.6962702870368958, 0.10689665377140045, 0.8359884023666382, 0.9999678134918213)","(0.42124128341674805, 0.8094906210899353, 0.3077276945114136, 0.7173857092857361, 0.9997715353965759)","(0.4254590570926666, 0.7993806004524231, 0.19661350548267365, 0.8288268446922302, 0.9998196959495544)","(0.4231727123260498, 0.8265551924705505, 0.3166007995605469, 0.8510991930961609, 0.9994053840637207)","(0.4261775314807892, 0.8224095702171326, 0.20526918768882751, 0.8539149761199951, 0.9997542500495911)",4
"(0.360641747713089, 0.6034218072891235, -0.002589502837508917, 0.9999700784683228, 0.9999637603759766)","(0.3930340111255646, 0.5889815092086792, 0.002320370404049754, 0.9999662637710571, 0.9999223947525024)","(0.33883342146873474, 0.6989818811416626, 0.030305180698633194, 0.5962132811546326, 0.9999899864196777)","(0.39841869473457336, 0.6512574553489685, 0.08297882974147797, 0.7854170203208923, 0.9999593496322632)","(0.36476096510887146, 0.7707070708274841, 0.06408821791410446, 0.7350467443466187, 0.9995443224906921)","(0.39449527859687805, 0.7605140209197998, 0.13825052976608276, 0.7960634231567383, 0.9987780451774597)","(0.3712577521800995, 0.7815505266189575, 0.06737234443426132, 0.832405686378479, 0.9985958933830261)","(0.3944796919822693, 0.7790394425392151, 0.1431935429573059, 0.8021973371505737, 0.998708963394165)",4
"(0.36347395181655884, 0.5562757849693298, 0.05762774869799614, 0.9999847412109375, 0.9999970197677612)","(0.3896561563014984, 0.5422085523605347, -0.05777224153280258, 0.9999902248382568, 0.9999946355819702)","(0.4185579717159271, 0.647948145866394, 0.12379023432731628, 0.7438247203826904, 0.9999526739120483)","(0.44240429997444153, 0.6030316948890686, -0.00409386632964015, 0.909197986125946, 0.9999257326126099)","(0.45302918553352356, 0.7423504590988159, 0.13049639761447906, 0.8360975980758667, 0.9997557997703552)","(0.4300810694694519, 0.6642432808876038, 0.09493257850408554, 0.8914778232574463, 0.9998916387557983)","(0.45368853211402893, 0.7646077275276184, 0.12909743189811707, 0.8925129771232605, 0.9992749094963074)","(0.4227195680141449, 0.671321451663971, 0.11070259660482407, 0.8805118203163147, 0.9998940229415894)",5
"(0.3711107075214386, 0.5542267560958862, 0.08712642639875412, 0.9999861121177673, 0.9999998807907104)","(0.3972072899341583, 0.5407417416572571, -0.08723796159029007, 0.9999911785125732, 1.0)","(0.41806185245513916, 0.6459595561027527, 0.22197368741035461, 0.7524086236953735, 0.9999959468841553)","(0.45170390605926514, 0.6183449029922485, -0.1293153613805771, 0.9182714223861694, 0.9999994039535522)","(0.4454745352268219, 0.7344874143600464, 0.29175832867622375, 0.8460932970046997, 0.9999799728393555)","(0.49251481890678406, 0.7359279990196228, -0.20669372379779816, 0.9023163914680481, 0.9999886751174927)","(0.4480430483818054, 0.7574977278709412, 0.29694998264312744, 0.9002851247787476, 0.999933123588562)","(0.4906260371208191, 0.7655476331710815, -0.2140038013458252, 0.892410933971405, 0.9999709129333496)",5
"(0.37703460454940796, 0.5474631190299988, 0.07974013686180115, 0.999985933303833, 0.9999994039535522)","(0.39943450689315796, 0.5387726426124573, -0.07985714823007584, 0.9999911189079285, 0.9999991655349731)","(0.42407408356666565, 0.6432684063911438, 0.19658081233501434, 0.7300521731376648, 0.9999765157699585)","(0.4496643841266632, 0.6227694749832153, -0.03969903290271759, 0.9254419207572937, 0.9999779462814331)","(0.44743338227272034, 0.7375569939613342, 0.27646324038505554, 0.8378241062164307, 0.9998908042907715)","(0.4999992549419403, 0.7255041599273682, 0.0005364791140891612, 0.9109459519386292, 0.9998732805252075)","(0.4477352201938629, 0.7601451873779297, 0.2821497619152069, 0.8879656791687012, 0.9995819926261902)","(0.5012878179550171, 0.7521899342536926, 0.004240252543240786, 0.9005459547042847, 0.9998224377632141)",5
"(0.38360506296157837, 0.5238993167877197, 0.07611885666847229, 0.999986469745636, 0.9999996423721313)","(0.3975403606891632, 0.5280534625053406, -0.0762241780757904, 0.9999913573265076, 0.9999994039535522)","(0.4285300076007843, 0.621772289276123, 0.1853172928094864, 0.7190083861351013, 0.9999943971633911)","(0.44346705079078674, 0.6067001223564148, 0.045334286987781525, 0.9302516579627991, 0.9999828338623047)","(0.44282299280166626, 0.7356350421905518, 0.26627689599990845, 0.8423839211463928, 0.9999712705612183)","(0.47836047410964966, 0.6986987590789795, 0.1708473116159439, 0.9175723791122437, 0.9999229907989502)","(0.4431116580963135, 0.7540757060050964, 0.27219343185424805, 0.8834814429283142, 0.9998871088027954)","(0.47763848304748535, 0.7173941731452942, 0.1836213767528534, 0.9057935476303101, 0.9999353885650635)",5
"(0.38853660225868225, 0.5091339349746704, 0.07927808910608292, 0.9999861717224121, 0.9999994039535522)","(0.40795040130615234, 0.5147654414176941, -0.07941225171089172, 0.9999909400939941, 0.999998927116394)","(0.4258187413215637, 0.6121948957443237, 0.16194655001163483, 0.7031146883964539, 0.9999889135360718)","(0.4412888288497925, 0.5932255387306213, 0.04596669599413872, 0.928259015083313, 0.9999587535858154)","(0.43306657671928406, 0.7306181192398071, 0.22066253423690796, 0.8438793420791626, 0.999963641166687)","(0.45257943868637085, 0.7021192908287048, 0.14753258228302002, 0.9210996031761169, 0.9998502731323242)","(0.4264377951622009, 0.7694807648658752, 0.22305168211460114, 0.8778499364852905, 0.9998390674591064)","(0.44829612970352173, 0.7214311957359314, 0.1558109074831009, 0.9036707878112793, 0.9998635053634644)",5
"(0.3626789450645447, 0.6693472266197205, 0.026300005614757538, 0.9999871850013733, 0.9999943971633911)","(0.39312034845352173, 0.6550341844558716, -0.026434071362018585, 0.9999771118164062, 0.9999665021896362)","(0.3946445882320404, 0.7569719552993774, 0.10958181321620941, 0.6921663284301758, 0.9999624490737915)","(0.4346120059490204, 0.7492532134056091, -0.03677764907479286, 0.9100022912025452, 0.9997733235359192)","(0.4258437752723694, 0.8513182401657104, 0.11854033172130585, 0.7973313331604004, 0.9997904896736145)","(0.40066710114479065, 0.762036919593811, -0.02798573113977909, 0.8385401964187622, 0.9996969699859619)","(0.4267286956310272, 0.8653034567832947, 0.12429299205541611, 0.9086205363273621, 0.9992792010307312)","(0.3933386504650116, 0.7577322125434875, -0.026106346398591995, 0.8832260966300964, 0.9996317625045776)",6
"(0.36892402172088623, 0.6769660115242004, 0.04298622906208038, 0.9999876022338867, 0.9999995231628418)","(0.39958009123802185, 0.659903883934021, -0.043132103979587555, 0.9999781250953674, 0.9999985694885254)","(0.40106716752052307, 0.7593685388565063, 0.1442917287349701, 0.7165586948394775, 0.9999923706054688)","(0.4416254758834839, 0.7339532375335693, -0.09173160046339035, 0.918887197971344, 0.9999890327453613)","(0.42585399746894836, 0.8517552018165588, 0.14587406814098358, 0.8160884380340576, 0.9999895095825195)","(0.46821343898773193, 0.8350459337234497, -0.14421965181827545, 0.8545145392417908, 0.9999749660491943)","(0.4278657138347626, 0.8664916753768921, 0.14503130316734314, 0.9165593385696411, 0.9999682903289795)","(0.4672353267669678, 0.8487846255302429, -0.14839181303977966, 0.8945544958114624, 0.9999576807022095)",6
"(0.37140998244285583, 0.6861617565155029, 0.028345059603452682, 0.9999817609786987, 0.9999943971633911)","(0.40360647439956665, 0.6661003232002258, -0.02857119031250477, 0.9999740719795227, 0.9999951124191284)","(0.403439998626709, 0.7578936815261841, 0.12250767648220062, 0.716163158416748, 0.9998177886009216)","(0.43135684728622437, 0.7172759771347046, 0.04942331463098526, 0.9057146906852722, 0.999915361404419)","(0.4246019423007965, 0.8507476449012756, 0.11220701038837433, 0.8281773328781128, 0.9998862743377686)","(0.4544188678264618, 0.7795851826667786, 0.05374225601553917, 0.8607193827629089, 0.9999196529388428)","(0.42708009481430054, 0.8657661080360413, 0.11022733896970749, 0.920769214630127, 0.9996875524520874)","(0.45337191224098206, 0.784206748008728, 0.05454188957810402, 0.8978558778762817, 0.9999001026153564)",6
"(0.37305906414985657, 0.5906051397323608, 0.044139374047517776, 0.9999683499336243, 0.9999685287475586)","(0.37244364619255066, 0.6155030131340027, -0.04421120882034302, 0.9999729990959167, 0.9999667406082153)","(0.4234965443611145, 0.5862911343574524, 0.07389641553163528, 0.6502352952957153, 0.9999579191207886)","(0.40352827310562134, 0.7113974094390869, -0.08781173825263977, 0.913621723651886, 0.9999839067459106)","(0.46021103858947754, 0.6307748556137085, 0.14008936285972595, 0.7718937397003174, 0.9998979568481445)","(0.4167657494544983, 0.8354631662368774, -0.03907737880945206, 0.8734720945358276, 0.9992017149925232)","(0.4613541066646576, 0.6456047296524048, 0.1444023996591568, 0.86250239610672, 0.9997697472572327)","(0.4184236228466034, 0.852953314781189, -0.03502899408340454, 0.9005053043365479, 0.9984776377677917)",6
